country,isocode,cantrilladderscore
Afghanistan,AFG,3.32808254
Albania,ALB,5.052877813
Algeria,DZA,5.3142032
Angola,AGO,4.420298875
Argentina,ARG,6.254027317
Armenia,ARM,4.659625412
Australia,AUS,7.258149365
Austria,AUT,7.229815463
Azerbaijan,AZE,4.969877481
Bahrain,BHR,6.106139864
Bangladesh,BGD,4.765592683
Belarus,BLR,5.584448569
Belgium,BEL,6.955257953
Belize,BLZ,6.2031455
Benin,BEN,4.1745839
Bhutan,BTN,5.1965995
Bosnia and Herzegovina,BIH,5.293282575
Botswana,BWA,3.888668207
Brazil,BRA,6.558892561
Bulgaria,BGR,4.732836847
Burundi,BDI,3.585986783
Cambodia,KHM,4.312603111
Cameroon,CMR,4.6943265
Canada,CAN,7.318549494
Central African Republic,CAF,3.5149543
Chad,TCD,4.096241229
Chile,CHL,6.334886556
China,CHN,5.136799922
Colombia,COL,6.175036339
Comoros,COM,4.011797844
Congo,COG,4.641621015
Costa Rica,CRI,7.104169529
Croatia,HRV,5.706021981
Cuba,CUB,5.4178686
Cyprus,CYP,5.869576395
Czechia,CZE,6.655350907
Denmark,DNK,7.669259494
Djibouti,DJI,4.822564975
Ecuador,ECU,5.7202295
Egypt,EGY,4.482899867
Estonia,EST,5.755719941
Eswatini,SWZ,4.4357942
Ethiopia,ETH,4.349899875
Finland,FIN,7.639444206
France,FRA,6.6713174
Gabon,GAB,4.563598508
Gambia,GMB,4.782944167
Georgia,GEO,4.400202872
Germany,DEU,6.8738087
Ghana,GHA,4.825118894
Greece,GRC,5.6059076
Guatemala,GTM,6.258333029
Guinea,GIN,4.329840175
Guyana,GUY,5.9928265
Haiti,HTI,3.92591915
Honduras,HND,5.497735965
Hungary,HUN,5.436157565
Iceland,ISL,7.473968336
India,IND,4.373897439
Indonesia,IDN,5.238146647
Iraq,IRQ,4.723853107
Ireland,IRL,7.057977088
Israel,ISR,7.237220561
Italy,ITA,6.313002506
Jamaica,JAM,5.851361333
Japan,JPN,6.01957935
Jordan,JOR,5.050267178
Kazakhstan,KAZ,5.86790865
Kenya,KEN,4.426655833
Kuwait,KWT,6.247950708
Kyrgyzstan,KGZ,5.274761333
Latvia,LVA,5.553256482
Lebanon,LBN,4.686643729
Lesotho,LSO,3.8394002
Liberia,LBR,4.184692475
Libya,LBY,5.501866738
Lithuania,LTU,5.936250806
Luxembourg,LUX,7.10541755
Madagascar,MDG,4.025263136
Malawi,MWI,3.96686614
Malaysia,MYS,5.776863487
Maldives,MDV,5.1975873
Mali,MLI,4.2901552
Malta,MLT,6.40529076
Mauritania,MRT,4.403299569
Mauritius,MUS,5.906958
Mexico,MEX,6.624597878
Mongolia,MNG,5.189515213
Montenegro,MNE,5.368935819
Morocco,MAR,5.006065054
Mozambique,MOZ,4.751316991
Myanmar,MMR,4.405908342
Namibia,NAM,4.5873437
Nepal,NPL,4.803377029
Netherlands,NLD,7.459411312
New Zealand,NZL,7.2907977
Nicaragua,NIC,5.715825929
Niger,NER,4.361036047
Nigeria,NGA,4.966750725
North Macedonia,MKD,4.965478338
Norway,NOR,7.476827846
Oman,OMN,6.852982
Pakistan,PAK,5.141109024
Panama,PAN,6.607367241
Paraguay,PRY,5.577354569
Peru,PER,5.602560594
Philippines,PHL,5.307510517
Poland,POL,5.974291494
Portugal,PRT,5.540668069
Qatar,QAT,6.56898186
Romania,ROU,5.690025113
Rwanda,RWA,3.609755443
Saudi Arabia,SAU,6.530687856
Senegal,SEN,4.542286224
Serbia,SRB,5.411730963
Sierra Leone,SLE,3.99370818
Singapore,SGP,6.499929613
Slovakia,SVK,6.13046146
Slovenia,SVN,6.1523681
Somalia,SOM,5.1832862
South Africa,ZAF,4.917799878
South Sudan,SSD,3.40187455
Spain,ESP,6.502768078
Sri Lanka,LKA,4.321041131
Sudan,SDN,4.3787412
Suriname,SUR,6.2692866
Sweden,SWE,7.37139485
Switzerland,CHE,7.523498446
Tajikistan,TJK,5.013976511
Thailand,THA,6.0572184
Togo,TGO,3.696003208
Trinidad and Tobago,TTO,6.28138906
Tunisia,TUN,4.711949027
Turkey,TUR,5.160288061
Turkmenistan,TKM,5.545474942
Uganda,UGA,4.346188194
Ukraine,UKR,4.807848383
United Arab Emirates,ARE,6.757149981
United Kingdom,GBR,6.920420728
United States,USA,7.065225617
Uruguay,URY,6.295989483
Uzbekistan,UZB,5.846793038
Yemen,YEM,3.9143064
Zambia,ZMB,4.443579724
Zimbabwe,ZWE,3.75465225
