index,continent,country,isocode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
177,Europe,Estonia,EST,25,56,129,203,293,286,307,241,152,87,29,19,1826
188,Europe,Iceland,ISL,20,60,109,164,201,174,168,155,120,93,41,22,1326
179,Europe,Finland,FIN,38,70,138,194,284,297,291,238,150,93,36,29,1858
212,Europe,Sweden,SWE,40,72,135,185,276,292,260,221,154,99,54,33,1821
176,Europe,Denmark,DNK,46,62,148,214,243,238,243,194,166,105,46,34,1739
199,Europe,Norway,NOR,40,76,126,178,220,250,246,216,144,86,51,35,1668
213,Europe,Switzerland,CHE,48,77,125,159,186,204,230,208,151,93,50,35,1566
170,Europe,Belgium,BEL,59,77,114,159,191,188,201,190,143,113,66,45,1546
197,Europe,Netherlands,NLD,63,88,126,183,222,206,217,197,139,109,62,51,1662
218,North America,Canada,CAN,119.5,144.6,177.2,220.2,249.4,269.9,314.1,284,207,175.4,121.1,114,2396.3
284,North America,United States of America,USA,268.4,270.8,335.5,365.5,407.4,415.4,392.6,375.6,341.7,319.6,270.1,252.7,4015.3
178,Europe,Faroe Islands,FRO,14,36,71,106,124,125,111,98,80,49,20,6,840
192,Europe,Latvia,LVA,31,62,127,183,264,288,264,229,153,93,39,22,1754
193,Europe,Lithuania,LTU,36,71,117,164,241,231,219,217,140,94,33,25,1588
200,Europe,Poland,POL,43,59,115,150,211,237,226,214,153,99,39,25,1571
169,Europe,Belarus,BLR,34,72,133,185,270,267,271,251,154,103,39,28,1807
215,Europe,Ukraine,UKR,31,57,124,180,279,270,310,248,210,155,60,31,1955
184,Europe,Germany,DEU,50,80,121,178,211,219,233,219,156,103,51,41,1662
171,Europe,Bosnia and Herzegovina,BIH,57,84,126,152,192,207,256,238,187,149,81,41,1769
173,Europe,Croatia,HRV,59,96,140,175,234,244,281,256,187,131,66,45,1913
290,North America,Saint Pierre and Miquelon,SPM,49.6,70.2,115.5,131.9,165.8,172.6,164.8,173.5,156.1,119,63,45.4,1427.3
206,Europe,Slovakia,SVK,65,82,152,204,264,270,276,270,207,143,60,47,2038
168,Europe,Austria,AUT,66,106,128,183,239,228,260,251,168,139,66,51,1884
187,Europe,Hungary,HUN,62,93,137,177,234,250,271,255,187,141,69,52,1988
217,Europe,United Kingdom,GBR,62,78,115,169,199,204,212,205,149,117,73,52,1633
189,Europe,Ireland,IRL,59,75,109,160,195,179,164,157,129,103,71,53,1453
207,Europe,Slovenia,SVN,71,114,149,178,235,246,293,264,183,120,66,56,1974
202,Europe,Romania,ROU,71,85,140,186,245,267,288,282,225,177,87,62,2115
205,Europe,Serbia,SRB,72,102,153,188,242,261,291,274,204,163,97,65,2112
172,Europe,Bulgaria,BGR,88,114,160,182,230,258,302,288,220,164,106,66,2177
159,Asia,Turkey,TUR,77.5,98.9,161.2,189,260.4,306,350.3,328.6,276,198.4,132,71.3,2449.6
198,Europe,North Macedonia,MKD,87,113,161,198,245,276,323,305,248,188,115,80,2339
166,Europe,Albania,ALB,124,125,165,191,263,298,354,327,264,218,127,88,2544
167,Europe,Armenia,ARM,93,108,162,177,242,297,343,332,278,212,138,92,2474
182,Europe,Georgia,GEO,99,102,142,171,213,249,256,248,206,164,103,93,2046
132,Asia,Kazakhstan,KAZ,118,119,147,194,241,280,306,294,245,184,127,101,2356
114,Asia,Azerbaijan,AZE,89.9,89,124,195,257.3,294,313.1,282.1,222,145.7,93,102.3,2207.4
161,Asia,Uzbekistan,UZB,117.8,127.1,164.3,216,303.8,363,384.4,365.8,300,226.3,150,105.4,2823.9
196,Europe,Montenegro,MNE,123,126,170,194,251,276,340,314,252,201,126,109,2481
191,Europe,Italy,ITA,121,133,167,201,264,285,332,298,237,195,129,112,2473
288,North America,Puerto Rico,PRI,118.9,200.2,288.9,153.1,214.5,310.3,302.1,268.1,212.2,222.9,139.8,120.5,2700.5
287,North America,Panama,PAN,228.9,245.2,183.9,173.1,108.5,116.3,106.1,118.1,99.2,103.9,139.8,120.5,1743.5
70,Africa,Democratic Republic of the Congo,COD,129,120,174,234,291,295,315,318,294,282,194,132,2778
149,Asia,Singapore,SGP,172.4,183.2,192.7,173.6,179.8,177.7,187.9,180.6,156.2,155.2,129.6,133.5,2022.4
316,South America,French Guiana,GUF,94.3,89.9,119,118.1,118.8,148.6,196.5,229.8,255.2,251.1,217.3,137.5,1976
201,Europe,Portugal,PRT,143,157,208,234,291,303,353,344,261,214,156,143,2806
180,Europe,France,FRA,150,156,215,245,293,326,366,327,254,205,156,143,2836
66,Africa,Congo,COG,168,152,194,185,188,153,127,149,145,150,157,147,1915
285,North America,Honduras,HND,170.5,192.1,217,234,213.9,192,201.5,217,174,151.9,144,151.9,2259.8
140,Asia,Philippines,PHL,176.7,197.8,225.8,258,222.7,162,132.8,132.8,132,157.6,153,151.9,2103.1
210,Europe,Spain,ESP,179,183,224,234,287,312,351,328,250,218,186,154,2906
135,Asia,Mongolia,MNG,179.1,204.8,265.2,262.5,299.3,269,249.3,258.3,245.7,227.5,177.4,156.4,2791.5
194,Europe,Malta,MLT,169,178,227,254,310,337,377,352,270,224,195,161,3054
102,Africa,Burundi,BDI,167.4,158.2,176.7,165,210.8,255,272.8,251.1,213,189.1,150,164.3,2373.4
337,Oceania,Solomon Islands,SLB,186,155.4,198.4,192,210.8,198,186,204.6,192,226.3,216,164.3,2330
186,Europe,Greece,GRC,156,159,208,240,319,355,385,368,308,236,201,167,3102
17,Africa,Gabon,GAB,175.2,176.8,176.9,176.8,159.5,130.6,119.2,90.4,95.9,112.9,134.6,167.8,1716.6
175,Europe,Cyprus,CYP,182.9,200.1,238.7,267,331.7,369,387.5,365.8,312,275.9,213,170.5,3314.1
131,Asia,Japan,JPN,184.5,165.8,163.1,176.9,167.8,125.4,146.4,169,120.9,131,147.9,178,1876.7
113,Asia,Afghanistan,AFG,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9,282.6,253.2,182.4,3175.1
106,Africa,Equatorial Guinea,GNQ,201.5,192.1,173.6,177,189.1,147,142.6,142.6,114,114.7,141,186,1921.2
129,Asia,Israel,ISR,192.2,200.1,235.6,270,328.6,357,368.9,356.5,300,279,234,189.1,3311
