country,continent,isocode,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019
United States of America,North America,USA,18745.56,19553.65,19124.51,20192.68,20972.76,20997.54,20667.38,21033.27,21652.43,21435.97,21783.46,22043.89,22231.66,23416.74,23766.51,24438.24,25242.95,26182.85,26514.33,27309.95
Germany,Europe,DEU,8769.88,9059.33,8498,9498.6,10444.71,8664.51,9150.85,8626.68,9534.51,8896.93,9291.96,9460.35,8829.74,9378.03,8682.32,8420.97,8583.01,8554.97,8460.83,8670.04
Japan,Asia,JPN,6625.66,6935.59,6874.69,6769.77,7116.98,7127.95,7268.19,7282.08,7064.69,7130.4,7192.4,7014.85,7130.95,7435.14,7493.67,7695.19,7871.93,7742.01,7833.6,7550.82
Italy,Europe,ITA,5149.24,5243.28,5182.23,5507.11,5468.91,5551.83,5593.06,5820.95,5892.15,5806.02,5781.32,5689.33,5709.76,5633.89,5861.37,5660.19,5998.15,5610.33,5954.76,5469.08
France,Europe,FRA,5402.08,5252.82,5525.72,5393.68,4929.12,4787.36,5277.59,5627.75,5151.57,5676.75,5712.9,5961.95,5790.29,5706.86,5954.15,5591.33,5374.54,5549.65,5986.44,6192.44
RussianFederation,Europe,RUS,1863.1,3032.1,3451.43,3678.98,3076.58,3184.76,3220.81,3977.44,3632.58,3112.87,3700.28,3754.19,3696.16,3647.74,4021,3845.69,4438.53,4512.24,4233.5,4820.09
United Kingdom,Europe,GBR,2342.28,2214.83,2260.74,2235.8,2458.5,2680.23,3058.79,2823.7,3067.43,3220.11,3134.14,2925.45,2925.87,2827.88,2927.61,3591.13,3500.56,3333.11,3787.7,3769.84
Spain,Europe,ESP,2991.36,2795.03,2833.04,2740.4,2705.41,3007.25,3016.65,3198.11,3485.48,3351.87,3231.86,3148.73,3435.23,3234.08,3696.45,3523.83,3437.41,3150.86,3095.03,3252.92
Netherlands,Europe,NLD,1859.77,1677.08,1573.92,1742.5,1978.14,1926.93,2128.79,2292.09,1323.56,897.81,1347.08,909.25,1382.46,1625.44,1800.09,1695.76,2079.15,1964.14,2144.86,2030.09
Poland,Europe,POL,2045.59,2222.43,2201.13,2242.12,2281.11,2267.43,1993.08,1554.36,1681.09,2001.01,2155.71,2034.29,1936.13,1669,1150.1,1419.79,1975.39,2240.99,2435.79,2500.63
Sweden,Europe,SWE,1173.09,1251.45,1224.35,1178.29,1233.51,1169.83,1315.04,1244.31,1272.45,1132.89,1221.45,1125.01,1159.33,1175.15,1651.52,1622.62,1798.31,1725.75,1683.18,1768.89
Belgium,Europe,BEL,1133.36,884.23,1484.3,1579.42,1396.24,1158.04,1537.41,1103.12,649.93,934.29,870.67,934.47,914.64,1245.16,1258.94,1073.61,1502.12,1300.05,1364.93,1185.38
Greece,Europe,GRC,687.44,547.85,826.55,928.56,871.04,870.12,856.59,1014.6,978.07,973.88,993.69,1022.55,1076.1,1100.54,1087.94,1048.89,1386.31,755.77,1059.23,1139.47
Austria,Europe,AUT,874.73,1012.66,926.03,719.57,995.82,772.07,612.47,846.82,907.89,885.72,902.85,1117.35,1269.02,1249.06,1134.71,1135.84,1193.25,1161.62,1171.99,1173.35
Finland,Europe,FIN,967.22,947.43,969.59,965.89,1034.36,1102.24,1046.84,1056.9,1114.92,1058.41,1080.42,1092.98,1082.03,1094.64,1029.74,1110.06,1147.41,1062.03,1106.23,1347.92
Romania,Europe,ROU,551.03,632.52,737.55,754.99,818.24,857.06,835.13,823.57,806.77,774.94,795.87,801.9,849.22,891.23,912.8,981.71,1072.46,1103.33,1119.76,1108.14
Switzerland,Europe,CHE,826.93,816.09,821.03,852.43,722.02,1099.33,931.89,988.97,1149.3,965.54,1011.81,1034.47,1046.94,1122.76,1027.58,1095.73,1066.24,894.13,1170.29,1072.89
Portugal,Europe,PRT,646.39,745.5,719.58,657.37,762.65,744.24,768.01,768.86,746.51,731.09,812.17,858.92,828.08,840.35,852.91,782.71,866.52,843.54,873.42,931.2
Czechia,Europe,CZE,560.23,633.05,641.53,622.66,604.68,656.47,631.01,678.96,621.41,525.17,469.73,572.46,685.23,637.43,998.18,708.37,806.01,804.17,1157.59,842.7
Norway,Europe,NOR,657.2,709.94,692.25,683,708.94,743.42,721.27,771.42,714.56,715.24,745.7,785.13,723.37,763.06,728.95,787.54,781.54,781.39,734.17,770.63
Denmark,Europe,DNK,790.64,868.4,804.59,724.04,848.85,794.55,822.49,794.28,688.34,676.25,806.49,762.26,799.82,822.18,748.03,731.4,753.33,732.52,739.49,778.14
Tunisia,Africa,TUN,191.74,231.78,234.17,119.66,262.98,189.8,200.4,253.4,317.49,288.73,301.47,415.37,421.14,429.4,459.85,457.89,465.44,545.92,532.8,508.18
Bulgaria,Europe,BGR,275.08,350.4,340.57,397.31,364.19,430.01,420.38,364.19,444.72,409.28,395.36,359.52,375.94,418.61,376.24,406.26,452.35,415.01,425.72,423.07
Croatia,Europe,HRV,327.12,336.77,354.86,375.43,370.01,373.75,386.13,386.33,377.14,365.64,369.84,367.15,360.36,386.56,368.46,374.65,379.59,361.11,359.94,380.51
Hungary,Europe,HUN,632.94,646.94,637.49,646.09,707.89,569.9,598.02,522.2,493.98,445.29,375.71,180.07,252.24,176.74,399.67,403.54,370.61,408.25,447.58,417.73
Ireland,Europe,IRL,83.16,146.24,136.12,150.93,224.74,222.89,202.66,244.35,115.11,134.5,159.98,178.63,214.1,195.93,256.73,293.06,318.2,291.49,369.61,369.54
Lithuania,Europe,LTU,173.24,204.32,208.31,173.07,197.29,193.42,213.42,230.08,203.78,209.78,222.63,179.78,193.22,196.96,223.06,212.12,241.88,240.35,261.75,251.45
Slovakia,Europe,SVK,263.32,283.71,275.3,285.43,283.18,293.24,280.9,356.33,341.03,212.75,337.07,387.74,201.08,328.09,498.1,267.27,225.86,152.48,277.6,226.98
Luxembourg,Europe,LUX,144.16,133.27,172.3,189.87,220.7,226.87,233.14,250.62,238.83,221.91,232.28,214.57,212.23,241.39,255.37,222.45,223.33,211.16,255.63,223.62
Slovenia,Europe,SVN,172.66,182.85,188.47,166.6,184.96,181.47,175.69,194.96,194.17,198.28,205.07,207.72,184.99,184.32,187.43,187.59,192.66,189.56,217.59,204.01
Estonia,Europe,EST,97.34,106.9,110.81,114.36,128.52,144.66,166.94,101.13,153.86,123.49,104.78,66.61,103.98,120.06,117.33,119.06,121.32,108.62,126.44,122.51
Latvia,Europe,LVA,161.79,149.77,145,158.57,154.99,144.22,180.79,130.85,115.14,88.11,98.6,101.03,101.19,94.97,110.17,106.22,111.01,117.52,97.97,113.69
Cyprus,Asia,CYP,66.8,52.89,51.38,53.1,59.81,69.65,55.5,69.28,77.29,75.44,73.91,80.79,85.4,89.31,80.74,92.72,93.09,97.27,129.8,115.42
Malta,Europe,MLT,8.81,9.08,8.83,10.56,15.52,16.28,28.81,15.91,22.75,14.12,12.03,15.56,21,21.59,24.61,15.39,17.63,16.37,18.97,23.12
