Entity,Code,Year,"GHG emissions per 100g protein (Poore & Nemecek, 2018)",percentage,
Dark Chocolate,,2010,93.3,23.85480941,60.31317203
Beef (beef herd),,2010,49.88966901,12.75571861,
Coffee,,2010,35.6625,9.118136556,
Lamb & Mutton,,2010,19.85007496,5.075238532,
Tomatoes,,2010,19,4.857892592,
Prawns (farmed),,2010,18.19228165,4.65137633,
Beef (dairy herd),,2010,16.86930091,4.313118522,39.68682807
Berries & Grapes,,2010,15.3,3.911881929,
Cassava,,2010,14.66666667,3.749952177,
Apples,,2010,14.33333333,3.66472599,
Cheese,,2010,10.81521739,2.765219181,
Bananas,,2010,9.555555556,2.44315066,
Milk,,2010,9.5,2.428946296,
Pig Meat,,2010,7.60815822,1.945242919,
Citrus Fruit,,2010,6.5,1.661910624,
Rice,,2010,6.267605634,1.602492367,
Fish (farmed),,2010,5.976759483,1.528129243,
Poultry Meat,,2010,5.698614319,1.457013489,
Brassicas,,2010,4.636363636,1.185418766,
Root Vegetables,,2010,4.3,1.099417797,
Eggs,,2010,4.208723864,1.076080446,
Onions & Leeks,,2010,3.846153846,0.983379067,
Potatoes,,2010,2.705882353,0.691836097,
Grains,,2010,2.7,0.690332105,
Tofu,,2010,1.975,0.504965151,
Oatmeal,,2010,1.907692308,0.487756017,
Maize,,2010,1.789473684,0.45753005,
Wheat & Rye,,2010,1.286885246,0.329028963,
Groundnuts,,2010,1.233766234,0.315447571,
Other Pulses,,2010,0.836057917,0.213762082,
Peas,,2010,0.441044104,0.11276552,
Nuts,,2010,0.263319045,0.067325034,
