country,isocode,productivity
Argentina,ARG,24.2809352
Australia,AUS,54.6302944
Austria,AUT,55.71640285
Bangladesh,BGD,2.96088374
Belgium,BEL,63.09866315
Brazil,BRA,16.9057418
Bulgaria,BGR,21.5887724
Cambodia,KHM,2.17096934
Canada,CAN,52.8672303
Chile,CHL,22.10415755
China,CHN,7.665054365
Colombia,COL,13.52455645
Costa Rica,CRI,14.77418443
Croatia,HRV,26.58510425
Cyprus,CYP,39.4662189
Czechia,CZE,33.8719063
Denmark,DNK,62.7894472
Dominican Republic,DOM,14.28872988
Ecuador,ECU,12.58930075
Estonia,EST,26.9509154
Finland,FIN,54.26936255
France,FRA,61.629258
Germany,DEU,62.6226585
Greece,GRC,33.29232395
Hungary,HUN,30.3245921
Iceland,ISL,53.8253607
India,IND,5.392356875
Indonesia,IDN,8.220217995
Ireland,IRL,76.3801438
Israel,ISR,38.5165622
Italy,ITA,51.2683192
Jamaica,JAM,8.207783567
Japan,JPN,42.1820336
Latvia,LVA,23.94214705
Lithuania,LTU,26.2781838
Luxembourg,LUX,66.3150421
Malaysia,MYS,20.56644275
Malta,MLT,33.49220725
Mexico,MEX,19.5915853
Myanmar,MMR,3.17109153
Netherlands,NLD,66.43895445
New Zealand,NZL,38.6161347
Norway,NOR,103.2668538
Pakistan,PAK,6.690608375
Peru,PER,8.874981175
Philippines,PHL,7.346075245
Poland,POL,27.2766466
Portugal,PRT,31.2954423
Romania,ROU,21.84962255
Singapore,SGP,43.9685852
Slovakia,SVK,32.8579836
Slovenia,SVN,36.91398675
South Africa,ZAF,17.35809044
Spain,ESP,47.8561523
Sri Lanka,LKA,12.66224205
Sweden,SWE,58.2807925
Switzerland,CHE,67.86572335
Thailand,THA,10.50329955
Trinidad and Tobago,TTO,21.27570033
Turkey,TUR,32.3961258
United Kingdom,GBR,50.39536945
United States,USA,65.7236431
Uruguay,URY,21.89971165
