Entity,Code,Year,"Land use per 100g protein (Poore & Nemecek, 2018)"
Lamb & Mutton,,2010,184.8125937
Beef (beef herd),,2010,163.5957874
Dark Chocolate,,2010,137.92
Cheese,,2010,39.75996377
Milk,,2010,27.12121212
Coffee,,2010,27.025
Berries & Grapes,,2010,24.1
Beef (dairy herd),,2010,21.9047619
Bananas,,2010,21.44444444
Apples,,2010,21
Cassava,,2010,20.11111111
Citrus Fruit,,2010,14.33333333
Pig Meat,,2010,10.72929543
Nuts,,2010,7.936313533
Tomatoes,,2010,7.272727273
Other Pulses,,2010,7.272302662
Poultry Meat,,2010,7.055427252
Oatmeal,,2010,5.846153846
Eggs,,2010,5.650684932
Potatoes,,2010,5.176470588
Brassicas,,2010,5
Grains,,2010,4.6
Rice,,2010,3.943661972
Fish (farmed),,2010,3.687787766
Groundnuts,,2010,3.479755539
Peas,,2010,3.357335734
Root Vegetables,,2010,3.3
Wheat & Rye,,2010,3.155737705
Maize,,2010,3.094736842
Onions & Leeks,,2010,3
Tofu,,2010,2.2
Prawns (farmed),,2010,2.010832769
