country,continent,isocode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States of America,North America,USA,18745.56372,19553.65381,19124.51091,20192.67764,20972.76292,20997.54404,20667.37958,21033.2731,21652.42701,21435.96711,21783.45792,22043.89138,22231.66371,23416.7422,23766.51053,24438.23532,25242.94712,26182.85325,26514.3274,27309.95089
Germany,Europe,DEU,8769.880653,9059.328072,8497.999682,9498.598737,10444.70785,8664.507094,9150.852967,8626.681283,9534.508273,8896.933062,9291.958859,9460.349561,8829.742963,9378.033304,8682.316327,8420.973241,8583.005135,8554.967217,8460.829869,8670.044801
Japan,Asia,JPN,6625.65991,6935.594938,6874.694943,6769.771949,7116.97995,7127.950949,7268.186316,7282.082552,7064.685113,7130.40346,7192.398002,7014.85381,7130.946647,7435.140353,7493.665419,7695.188722,7871.931796,7742.009408,7833.595668,7550.821826
Italy,Europe,ITA,5149.236346,5243.277043,5182.230237,5507.114437,5468.909136,5551.826815,5593.060613,5820.949054,5892.152177,5806.024594,5781.318961,5689.331772,5709.763166,5633.8867,5861.370818,5660.193381,5998.146467,5610.327549,5954.763251,5469.078444
France,Europe,FRA,5402.080678,5252.819318,5525.715324,5393.679991,4929.117167,4787.358397,5277.58646,5627.754272,5151.566678,5676.749771,5712.89851,5961.952791,5790.294638,5706.861578,5954.153526,5591.326847,5374.538607,5549.649418,5986.440549,6192.44014
RussianFederation,Europe,RUS,1863.096809,3032.098612,3451.43079,3678.976985,3076.578237,3184.757959,3220.811372,3977.437932,3632.580114,3112.871956,3700.279793,3754.190254,3696.164301,3647.744244,4021.000026,3845.688164,4438.525994,4512.244373,4233.503774,4820.090941
United Kingdom,Europe,GBR,2342.282593,2214.825152,2260.7401,2235.795821,2458.4959,2680.234475,3058.788719,2823.698258,3067.431545,3220.111866,3134.144304,2925.449461,2925.873324,2827.882509,2927.609307,3591.132517,3500.557908,3333.112341,3787.700404,3769.838886
Spain,Europe,ESP,2991.363838,2795.025489,2833.03628,2740.398901,2705.412203,3007.24956,3016.648431,3198.113102,3485.475582,3351.866483,3231.861505,3148.731131,3435.225278,3234.076034,3696.449058,3523.833499,3437.412752,3150.862644,3095.030674,3252.916227
Netherlands,Europe,NLD,1859.77168,1677.07829,1573.917885,1742.501889,1978.140635,1926.930968,2128.78806,2292.091067,1323.56366,897.8116087,1347.082288,909.250259,1382.460759,1625.43999,1800.087609,1695.761218,2079.149498,1964.138463,2144.857273,2030.0858
Poland,Europe,POL,2045.587692,2222.425077,2201.128864,2242.11607,2281.107445,2267.429574,1993.07653,1554.364851,1681.087206,2001.007687,2155.712018,2034.287928,1936.126692,1668.998718,1150.098736,1419.79242,1975.388802,2240.994637,2435.794631,2500.628861
Sweden,Europe,SWE,1173.089486,1251.447987,1224.352004,1178.293186,1233.506189,1169.831743,1315.035556,1244.305656,1272.45469,1132.892674,1221.449083,1125.013125,1159.329877,1175.149675,1651.517069,1622.621339,1798.308897,1725.75037,1683.177694,1768.890733
Belgium,Europe,BEL,1133.360564,884.2332676,1484.300964,1579.418571,1396.235438,1158.037756,1537.413085,1103.118346,649.9305163,934.292881,870.6651789,934.4687495,914.636559,1245.164761,1258.936808,1073.610671,1502.124804,1300.054875,1364.926657,1185.376339
Greece,Europe,GRC,687.4356581,547.8508547,826.5487537,928.5628345,871.0449497,870.1194578,856.5887765,1014.596889,978.0725388,973.8755111,993.6918558,1022.548775,1076.09861,1100.543325,1087.938479,1048.89193,1386.314721,755.7684208,1059.227914,1139.469969
