country,continent,isocode
Afghanistan,Asia,AFG
Åland Islands,Europe,ALA
Albania,Europe,ALB
Algeria,Africa,DZA
American Samoa,Oceania,ASM
Andorra,Europe,AND
Angola,Africa,AGO
Anguilla,North America,AIA
Antarctica,Antarctica,ATA
Antigua and Barbuda,North America,ATG
Argentina,South America,ARG
Armenia,Asia,ARM
Aruba,North America,ABW
Australia,Oceania,AUS
Austria,Europe,AUT
Azerbaijan,Asia,AZE
Bahamas,North America,BHS
Bahrain,Asia,BHR
Bangladesh,Asia,BGD
Barbados,North America,BRB
Belarus,Europe,BLR
Belgium,Europe,BEL
Belize,North America,BLZ
Benin,Africa,BEN
Bermuda,North America,BMU
Bhutan,Asia,BTN
Bolivia (Plurinational State of),South America,BOL
"Bonaire, Sint Eustatius and Saba",North America,BES
Bosnia and Herzegovina,Europe,BIH
Botswana,Africa,BWA
Bouvet Island,South America,BVT
Brazil,South America,BRA
British Indian Ocean Territory,Africa,IOT
British Virgin Islands,North America,VGB
Brunei Darussalam,Asia,BRN
Bulgaria,Europe,BGR
Burkina Faso,Africa,BFA
Burundi,Africa,BDI
Cabo Verde,Africa,CPV
Cambodia,Asia,KHM
Cameroon,Africa,CMR
Canada,North America,CAN
Cayman Islands,North America,CYM
Central African Republic,Africa,CAF
Chad,Africa,TCD
Chile,South America,CHL
China,Asia,CHN
Hong Kong,Asia,HKG
"China, Macao Special Administrative Region",Asia,MAC
Christmas Island,Oceania,CXR
Cocos (Keeling) Islands,Oceania,CCK
Colombia,South America,COL
Comoros,Africa,COM
Congo,Africa,COG
Cook Islands,Oceania,COK
Costa Rica,North America,CRI
Côte d’Ivoire,Africa,CIV
Croatia,Europe,HRV
Cuba,North America,CUB
Curaçao,North America,CUW
Cyprus,Asia,CYP
Czechia,Europe,CZE
Democratic People's Republic of Korea,Asia,PRK
Democratic Republic of the Congo,Africa,COD
Denmark,Europe,DNK
Djibouti,Africa,DJI
Dominica,North America,DMA
Dominican Republic,North America,DOM
Ecuador,South America,ECU
Egypt,Africa,EGY
El Salvador,North America,SLV
Equatorial Guinea,Africa,GNQ
Eritrea,Africa,ERI
Estonia,Europe,EST
Eswatini,Africa,SWZ
Ethiopia,Africa,ETH
Falkland Islands (Malvinas),South America,FLK
Faroe Islands,Europe,FRO
Fiji,Oceania,FJI
Finland,Europe,FIN
France,Europe,FRA
French Guiana,South America,GUF
French Polynesia,Oceania,PYF
French Southern Territories,Africa,ATF
Gabon,Africa,GAB
Gambia,Africa,GMB
Georgia,Asia,GEO
Germany,Europe,DEU
Ghana,Africa,GHA
Gibraltar,Europe,GIB
Greece,Europe,GRC
Greenland,North America,GRL
Grenada,North America,GRD
Guadeloupe,North America,GLP
Guam,Oceania,GUM
Guatemala,North America,GTM
Guernsey,Europe,GGY
Guinea,Africa,GIN
Guinea-Bissau,Africa,GNB
Guyana,South America,GUY
Haiti,North America,HTI
Heard Island and McDonald Islands,Oceania,HMD
Holy See,Europe,VAT
Honduras,North America,HND
Hungary,Europe,HUN
Iceland,Europe,ISL
India,Asia,IND
Indonesia,Asia,IDN
